joshua

joshua 1 1   ויהי אחרי מות משה עבד יהוה ויאמר יהוה אל יהושע בן נון משרת משה לאמר
joshua 9 13   ואלה נאדות היין אשר מלאנו חדשים והנה התבקעו ואלה שלמותינו ונעלינו בלו מרב הדרך מאד

joshua 9 14   ויקחו האנשים מצידם ואת פי יהוה לא שאלו

joshua 9 15   ויעש להם יהושע שלום ויכרת להם ברית לחיותם וישבעו להם נשיאי העדה

joshua 9 16   ויהי מקצה שלשת ימים אחרי אשר כרתו להם ברית וישמעו כי קרבים הם אליו ובקרבו הם ישבים

joshua 9 17   ויסעו בני ישראל ויבאו אל עריהם ביום השלישי ועריהם גבעון והכפירה ובארות וקרית יערים

joshua 9 18   ולא הכום בני ישראל כי נשבעו להם נשיאי העדה ביהוה אלהי ישראל וילנו כל העדה על הנשיאים

joshua 9 19   ויאמרו כל הנשיאים אל כל העדה אנחנו נשבענו להם ביהוה אלהי ישראל ועתה לא נוכל לנגע בהם

joshua 9 20   זאת נעשה להם והחיה אותם ולא יהיה עלינו קצף על השבועה אשר נשבענו להם

joshua 9 21   ויאמרו אליהם הנשיאים יחיו ויהיו חטבי עצים ושאבי מים לכל העדה כאשר דברו להם הנשיאים

joshua 9 22   ויקרא להם יהושע וידבר אליהם לאמר למה רמיתם אתנו לאמר רחוקים אנחנו מכם מאד ואתם בקרבנו ישבים

joshua 9 23   ועתה ארורים אתם ולא יכרת מכם עבד וחטבי עצים ושאבי מים לבית אלהי

joshua 9 24   ויענו את יהושע ויאמרו כי הגד הגד לעבדיך את אשר צוה יהוה אלהיך את משה עבדו לתת לכם את כל הארץ ולהשמיד את כל ישבי הארץ מפניכם ונירא מאד לנפשתינו מפניכם ונעשה את הדבר הזה

joshua 9 25   ועתה הננו בידך כטוב וכישר בעיניך לעשות לנו עשה

joshua 9 26   ויעש להם כן ויצל אותם מיד בני ישראל ולא הרגום

joshua 9 27   ויתנם יהושע ביום ההוא חטבי עצים ושאבי מים לעדה ולמזבח יהוה עד היום הזה אל המקום אשר יבחר

joshua 10 1   ויהי כשמע אדני צדק מלך ירושלם כי לכד יהושע את העי ויחרימה כאשר עשה ליריחו ולמלכה כן עשה לעי ולמלכה וכי השלימו ישבי גבעון את ישראל ויהיו בקרבם

joshua 10 2   וייראו מאד כי עיר גדולה גבעון כאחת ערי הממלכה וכי היא גדולה מן העי וכל אנשיה גברים

joshua 10 3   וישלח אדני צדק מלך ירושלם אל הוהם מלך חברון ואל פראם מלך ירמות ואל יפיע מלך לכיש ואל דביר מלך עגלון לאמר

joshua 10 4   עלו אלי ועזרני ונכה את גבעון כי השלימה את יהושע ואת בני ישראל

joshua 10 5   ויאספו ויעלו חמשת מלכי האמרי מלך ירושלם מלך חברון מלך ירמות מלך לכיש מלך עגלון הם וכל מחניהם ויחנו על גבעון וילחמו עליה

joshua 10 6   וישלחו אנשי גבעון אל יהושע אל המחנה הגלגלה לאמר אל תרף ידיך מעבדיך עלה אלינו מהרה והושיעה לנו ועזרנו כי נקבצו אלינו כל מלכי האמרי ישבי ההר

joshua 10 7   ויעל יהושע מן הגלגל הוא וכל עם המלחמה עמו וכל גבורי החיל

joshua 10 8   ויאמר יהוה אל יהושע אל תירא מהם כי בידך נתתים לא יעמד איש מהם בפניך

joshua 10 9   ויבא אליהם יהושע פתאם כל הלילה עלה מן הגלגל

joshua 10 10   ויהמם יהוה לפני ישראל ויכם מכה גדולה בגבעון וירדפם דרך מעלה בית חורן ויכם עד עזקה ועד מקדה

joshua 10 11   ויהי בנסם מפני ישראל הם במורד בית חורן ויהוה השליך עליהם אבנים גדלות מן השמים עד עזקה וימתו רבים אשר מתו באבני הברד מאשר הרגו בני ישראל בחרב

joshua 10 12   אז ידבר יהושע ליהוה ביום תת יהוה את האמרי לפני בני ישראל ויאמר לעיני ישראל שמש בגבעון דום וירח בעמק אילון

joshua 10 13   וידם השמש וירח עמד עד יקם גוי איביו הלא היא כתובה על ספר הישר ויעמד השמש בחצי השמים ולא אץ לבוא כיום תמים

joshua 10 14   ולא היה כיום ההוא לפניו ואחריו לשמע יהוה בקול איש כי יהוה נלחם לישראל

joshua 10 15   וישב יהושע וכל ישראל עמו אל המחנה הגלגלה

joshua 10 16   וינסו חמשת המלכים האלה ויחבאו במערה במקדה

joshua 10 17   ויגד ליהושע לאמר נמצאו חמשת המלכים נחבאים במערה במקדה

joshua 10 18   ויאמר יהושע גלו אבנים גדלות אל פי המערה והפקידו עליה אנשים לשמרם

joshua 10 19   ואתם אל תעמדו רדפו אחרי איביכם וזנבתם אותם אל תתנום לבוא אל עריהם כי נתנם יהוה אלהיכם בידכם

joshua 10 20   ויהי ככלות יהושע ובני ישראל להכותם מכה גדולה מאד עד תמם והשרידים שרדו מהם ויבאו אל ערי המבצר

joshua 10 21   וישבו כל העם אל המחנה אל יהושע מקדה בשלום לא חרץ לבני ישראל לאיש את לשנו

joshua 10 22   ויאמר יהושע פתחו את פי המערה והוציאו אלי את חמשת המלכים האלה מן המערה

joshua 10 23   ויעשו כן ויציאו אליו את חמשת המלכים האלה מן המערה את מלך ירושלם את מלך חברון את מלך ירמות את מלך לכיש את מלך עגלון

joshua 10 24   ויהי כהוציאם את המלכים האלה אל יהושע ויקרא יהושע אל כל איש ישראל ויאמר אל קציני אנשי המלחמה ההלכוא אתו קרבו שימו את רגליכם על צוארי המלכים האלה ויקרבו וישימו את רגליהם על צואריהם

joshua 10 25   ויאמר אליהם יהושע אל תיראו ואל תחתו חזקו ואמצו כי ככה יעשה יהוה לכל איביכם אשר אתם נלחמים אותם

joshua 10 26   ויכם יהושע אחרי כן וימיתם ויתלם על חמשה עצים ויהיו תלוים על העצים עד הערב

joshua 10 27   ויהי לעת בוא השמש צוה יהושע וירידום מעל העצים וישלכם אל המערה אשר נחבאו שם וישמו אבנים גדלות על פי המערה עד עצם היום הזה

joshua 10 28   ואת מקדה לכד יהושע ביום ההוא ויכה לפי חרב ואת מלכה החרם אותם ואת כל הנפש אשר בה לא השאיר שריד ויעש למלך מקדה כאשר עשה למלך יריחו

joshua 10 29   ויעבר יהושע וכל ישראל עמו ממקדה לבנה וילחם עם לבנה

joshua 10 30   ויתן יהוה גם אותה ביד ישראל ואת מלכה ויכה לפי חרב ואת כל הנפש אשר בה לא השאיר בה שריד ויעש למלכה כאשר עשה למלך יריחו

joshua 10 31   ויעבר יהושע וכל ישראל עמו מלבנה לכישה ויחן עליה וילחם בה

joshua 10 32   ויתן יהוה את לכיש ביד ישראל וילכדה ביום השני ויכה לפי חרב ואת כל הנפש אשר בה ככל אשר עשה ללבנה

joshua 10 33   אז עלה הרם מלך גזר לעזר את לכיש ויכהו יהושע ואת עמו עד בלתי השאיר לו שריד

joshua 10 34   ויעבר יהושע וכל ישראל עמו מלכיש עגלנה ויחנו עליה וילחמו עליה

joshua 10 35   וילכדוה ביום ההוא ויכוה לפי חרב ואת כל הנפש אשר בה ביום ההוא החרים ככל אשר עשה ללכיש

joshua 10 36   ויעל יהושע וכל ישראל עמו מעגלונה חברונה וילחמו עליה

joshua 10 37   וילכדוה ויכוה לפי חרב ואת מלכה ואת כל עריה ואת כל הנפש אשר בה לא השאיר שריד ככל אשר עשה לעגלון ויחרם אותה ואת כל הנפש אשר בה

joshua 10 38   וישב יהושע וכל ישראל עמו דברה וילחם עליה

joshua 10 39   וילכדה ואת מלכה ואת כל עריה ויכום לפי חרב ויחרימו את כל נפש אשר בה לא השאיר שריד כאשר עשה לחברון כן עשה לדברה ולמלכה וכאשר עשה ללבנה ולמלכה

joshua 10 40   ויכה יהושע את כל הארץ ההר והנגב והשפלה והאשדות ואת כל מלכיהם לא השאיר שריד ואת כל הנשמה החרים כאשר צוה יהוה אלהי ישראל

joshua 10 41   ויכם יהושע מקדש ברנע ועד עזה ואת כל ארץ גשן ועד גבעון

joshua 10 42   ואת כל המלכים האלה ואת ארצם לכד יהושע פעם אחת כי יהוה אלהי ישראל נלחם לישראל

joshua 10 43   וישב יהושע וכל ישראל עמו אל המחנה הגלגלה

joshua 11 1   ויהי כשמע יבין מלך חצור וישלח אל יובב מלך מדון ואל מלך שמרון ואל מלך אכשף

joshua 11 2   ואל המלכים אשר מצפון בהר ובערבה נגב כנרות ובשפלה ובנפות דור מים

joshua 11 3   הכנעני ממזרח ומים והאמרי והחתי והפרזי והיבוסי בהר והחוי תחת חרמון בארץ המצפה

joshua 11 4   ויצאו הם וכל מחניהם עמם עם רב כחול אשר על שפת הים לרב וסוס ורכב רב מאד

joshua 11 5   ויועדו כל המלכים האלה ויבאו ויחנו יחדו אל מי מרום להלחם עם ישראל

joshua 11 6   ויאמר יהוה אל יהושע אל תירא מפניהם כי מחר כעת הזאת אנכי נתן את כלם חללים לפני ישראל את סוסיהם תעקר ואת מרכבתיהם תשרף באש

joshua 11 7   ויבא יהושע וכל עם המלחמה עמו עליהם על מי מרום פתאם ויפלו בהם

joshua 11 8   ויתנם יהוה ביד ישראל ויכום וירדפום עד צידון רבה ועד משרפות מים ועד בקעת מצפה מזרחה ויכם עד בלתי השאיר להם שריד

joshua 11 9   ויעש להם יהושע כאשר אמר לו יהוה את סוסיהם עקר ואת מרכבתיהם שרף באש

joshua 11 10   וישב יהושע בעת ההיא וילכד את חצור ואת מלכה הכה בחרב כי חצור לפנים היא ראש כל הממלכות האלה

joshua 11 11   ויכו את כל הנפש אשר בה לפי חרב החרם לא נותר כל נשמה ואת חצור שרף באש

joshua 11 12   ואת כל ערי המלכ͏ים האלה ואת כל מלכיהם לכד יהושע ויכם לפי חרב החרים אותם כאשר צוה משה עבד יהוה

joshua 11 13   רק כל הערים העמדות על תלם לא שרפם ישראל זולתי את חצור לבדה שרף יהושע

joshua 11 14   וכל שלל הערים האלה והבהמה בזזו להם בני ישראל רק את כל האדם הכו לפי חרב עד השמדם אותם לא השאירו כל נשמה

joshua 11 15   כאשר צוה יהוה את משה עבדו כן צוה משה את יהושע וכן עשה יהושע לא הסיר דבר מכל אשר צוה יהוה את משה

joshua 11 16   ויקח יהושע את כל הארץ הזאת ההר ואת כל הנגב ואת כל ארץ הגשן ואת השפלה ואת הערבה ואת הר ישראל ושפלתה

joshua 11 17   מן ההר החלק העולה שעיר ועד בעל גד בבקעת הלבנון תחת הר חרמון ואת כל מלכיהם לכד ויכם וימיתם

joshua 11 18   ימים רבים עשה יהושע את כל המלכים האלה מלחמה

joshua 11 19   לא היתה עיר אשר השלימה אל בני ישראל בלתי החוי ישבי גבעון את הכל לקחו במלחמה

joshua 11 20   כי מאת יהוה היתה לחזק את לבם לקראת המלחמה את ישראל למען החרימם לבלתי היות להם תחנה כי למען השמידם כאשר צוה יהוה את משה

joshua 11 21   ויבא יהושע בעת ההיא ויכרת את הענקים מן ההר מן חברון מן דבר מן ענב ומכל הר יהודה ומכל הר ישראל עם עריהם החרימם יהושע

joshua 11 22   לא נותר ענקים בארץ בני ישראל רק בעזה בגת ובאשדוד נשארו

joshua 11 23   ויקח יהושע את כל הארץ ככל אשר דבר יהוה אל משה ויתנה יהושע לנחלה לישראל כמחלקתם לשבטיהם והארץ שקטה ממלחמה

joshua 12 1   ואלה מלכי הארץ אשר הכו בני ישראל וירשו את ארצם בעבר הירדן מזרחה השמש מנחל ארנון עד הר חרמון וכל הערבה מזרחה

joshua 12 2   סיחון מלך האמרי היושב בחשבון משל מערוער אשר על שפת נחל ארנון ותוך הנחל וחצי הגלעד ועד יבק הנחל גבול בני עמון

joshua 12 3   והערבה עד ים כנרות מזרחה ועד ים הערבה ים המלח מזרחה דרך בית הישמות ומתימן תחת אשדות הפסגה

joshua 12 4   וגבול עוג מלך הבשן מיתר הרפאים היושב בעשתרות ובאדרעי

joshua 12 5   ומשל בהר חרמון ובסלכה ובכל הבשן עד גבול הגשורי והמעכתי וחצי הגלעד גבול סיחון מלך חשבון

joshua 12 6   משה עבד יהוה ובני ישראל הכום ויתנה משה עבד יהוה ירשה לראובני ולגדי ולחצי שבט המנשה

joshua 12 7   ואלה מלכי הארץ אשר הכה יהושע ובני ישראל בעבר הירדן ימה מבעל גד בבקעת הלבנון ועד ההר החלק העלה שעירה ויתנה יהושע לשבטי ישראל ירשה כמחלקתם

joshua 12 8   בהר ובשפלה ובערבה ובאשדות ובמדבר ובנגב החתי האמרי והכנעני הפרזי החוי והיבוסי

joshua 12 9   מלך יריחו אחד מלך העי אשר מצד בית אל אחד

joshua 12 10   מלך ירושלם אחד מלך חברון אחד

joshua 12 11   מלך ירמות אחד מלך לכיש אחד

joshua 12 12   מלך עגלון אחד מלך גזר אחד

joshua 12 13   מלך דבר אחד מלך גדר אחד

joshua 12 14   מלך חרמה אחד מלך ערד אחד

joshua 12 15   מלך לבנה אחד מלך עדלם אחד

joshua 12 16   מלך מקדה אחד מלך בית אל אחד

joshua 12 17   מלך תפוח אחד מלך חפר אחד

joshua 12 18   מלך אפק אחד מלך לשרון אחד

joshua 12 19   מלך מדון אחד מלך חצור אחד

joshua 12 20   מלך שמרון מראון אחד מלך אכשף אחד

joshua 12 21   מלך תענך אחד מלך מגדו אחד

joshua 12 22   מלך קדש אחד מלך יקנעם לכרמל אחד

joshua 12 23   מלך דור לנפת דור אחד מלך גוים לגלגל אחד

joshua 12 24   מלך תרצה אחד כל מלכים שלשים ואחד

joshua 13 1   ויהושע זקן בא בימים ויאמר יהוה אליו אתה זקנתה באת בימים והארץ נשארה הרבה מאד לרשתה

joshua 13 2   זאת הארץ הנשארת כל גלילות הפלשתים וכל הגשורי

joshua 13 3   מן השיחור אשר על פני מצרים ועד גבול עקרון צפונה לכנעני תחשב חמשת סרני פלשתים העזתי והאשדודי האשקלוני הגתי והעקרוני והעוים

joshua 13 4   מתימן כל ארץ הכנעני ומערה אשר לצידנים עד אפקה עד גבול האמרי

joshua 13 5   והארץ הגבלי וכל הלבנון מזרח השמש מבעל גד תחת הר חרמון עד לבוא חמת

joshua 13 6   כל ישבי ההר מן הלבנון עד משרפת מים כל צידנים אנכי אורישם מפני בני ישראל רק הפלה לישראל בנחלה כאשר צויתיך

joshua 13 7   ועתה חלק את הארץ הזאת בנחלה לתשעת השבטים וחצי השבט המנשה

joshua 13 8   עמו הראובני והגדי לקחו נחלתם אשר נתן להם משה בעבר הירדן מזרחה כאשר נתן להם משה עבד יהוה

joshua 13 9   מערוער אשר על שפת נחל ארנון והעיר אשר בתוך הנחל וכל המישר מידבא עד דיבון

joshua 13 10   וכל ערי סיחון מלך האמרי אשר מלך בחשבון עד גבול בני עמון

joshua 13 11   והגלעד וגבול הגשורי והמעכתי וכל הר חרמון וכל הבשן עד סלכה

joshua 13 12   כל ממלכות עוג בבשן אשר מלך בעשתרות ובאדרעי הוא נשאר מיתר הרפאים ויכם משה וירשם

joshua 13 13   ולא הורישו בני ישראל את הגשורי ואת המעכתי וישב גשור ומעכת בקרב ישראל עד היום הזה

joshua 13 14   רק לשבט הלוי לא נתן נחלה אשי יהוה אלהי ישראל הוא נחלתו כאשר דבר לו

joshua 13 15   ויתן משה למטה בני ראובן למשפחתם

joshua 13 16   ויהי להם הגבול מערוער אשר על שפת נחל ארנון והעיר אשר בתוך הנחל וכל המישר על מידבא

joshua 13 17   חשבון וכל עריה אשר במישר דיבון ובמות בעל ובית בעל מעון

joshua 13 18   ויהצה וקדמת ומפעת

joshua 13 19   וקריתים ושבמה וצרת השחר בהר העמק

joshua 13 20   ובית פעור ואשדות הפסגה ובית הישמות

joshua 13 21   וכל ערי המישר וכל ממלכות סיחון מלך האמרי אשר מלך בחשבון אשר הכה משה אתו ואת נשיאי מדין את אוי ואת רקם ואת צור ואת חור ואת רבע נסיכי סיחון ישבי הארץ

joshua 13 22   ואת בלעם בן בעור הקוסם הרגו בני ישראל בחרב אל חלליהם

joshua 13 23   ויהי גבול בני ראובן הירדן וגבול זאת נחלת בני ראובן למשפחתם הערים וחצריהן

joshua 13 24   ויתן משה למטה גד לבני גד למשפחתם

joshua 13 25   ויהי להם הגבול יעזר וכל ערי הגלעד וחצי ארץ בני עמון עד ערוער אשר על פני רבה

joshua 13 26   ומחשבון עד רמת המצפה ובטנים וממחנים עד גבול לדבר

joshua 13 27   ובעמק בית הרם ובית נמרה וסכות וצפון יתר ממלכות סיחון מלך חשבון הירדן וגבל עד קצה ים כנרת עבר הירדן מזרחה

joshua 13 28   זאת נחלת בני גד למשפחתם הערים וחצריהם

joshua 13 29   ויתן משה לחצי שבט מנשה ויהי לחצי מטה בני מנשה למשפחותם

joshua 13 30   ויהי גבולם ממחנים כל הבשן כל ממלכות עוג מלך הבשן וכל חות יאיר אשר בבשן ששים עיר

joshua 13 31   וחצי הגלעד ועשתרות ואדרעי ערי ממלכות עוג בבשן לבני מכיר בן מנשה לחצי בני מכיר למשפחותם

joshua 13 32   אלה אשר נחל משה בערבות מואב מעבר לירדן יריחו מזרחה

joshua 13 33   ולשבט הלוי לא נתן משה נחלה יהוה אלהי ישראל הוא נחלתם כאשר דבר להם

joshua 14 1   ואלה אשר נחלו בני ישראל בארץ כנען אשר נחלו אותם אלעזר הכהן ויהושע בן נון וראשי אבות המטות לבני ישראל

joshua 14 2   בגורל נחלתם כאשר צוה יהוה ביד משה לתשעת המטות וחצי המטה

joshua 14 3   כי נתן משה נחלת שני המטות וחצי המטה מעבר לירדן וללוים לא נתן נחלה בתוכם

joshua 14 4   כי היו בני יוסף שני מטות מנשה ואפרים ולא נתנו חלק ללוים בארץ כי אם ערים לשבת ומגרשיהם למקניהם ולקנינם

joshua 14 5   כאשר צוה יהוה את משה כן עשו בני ישראל ויחלקו את הארץ

joshua 14 6   ויגשו בני יהודה אל יהושע בגלגל ויאמר אליו כלב בן יפנה הקנזי אתה ידעת את הדבר אשר דבר יהוה אל משה איש האלהים על אדותי ועל אדותיך בקדש ברנע

joshua 14 7   בן ארבעים שנה אנכי בשלח משה עבד יהוה אתי מקדש ברנע לרגל את הארץ ואשב אתו דבר כאשר עם לבבי

joshua 14 8   ואחי אשר עלו עמי המסיו את לב העם ואנכי מלאתי אחרי יהוה אלהי

joshua 14 9   וישבע משה ביום ההוא לאמר אם לא הארץ אשר דרכה רגלך בה לך תהיה לנחלה ולבניך עד עולם כי מלאת אחרי יהוה אלהי

joshua 14 10   ועתה הנה החיה יהוה אותי כאשר דבר זה ארבעים וחמש שנה מאז דבר יהוה את הדבר הזה אל משה אשר הלך ישראל במדבר ועתה הנה אנכי היום בן חמש ושמונים שנה

joshua 14 11   עודני היום חזק כ͏אשר ביום שלח אותי משה ככחי אז וככחי עתה למלחמה ולצאת ולבוא

joshua 14 12   ועתה תנה לי את ההר הזה אשר דבר יהוה ביום ההוא כי אתה שמעת ביום ההוא כי ענקים שם וערים גדלות בצרות אולי יהוה אותי והורשתים כאשר דבר יהוה

joshua 14 13   ויברכהו יהושע ויתן את חברון לכלב בן יפנה לנחלה

joshua 14 14   על כן היתה חברון לכלב בן יפנה הקנזי לנחלה עד היום הזה יען אשר מלא אחרי יהוה אלהי ישראל

joshua 14 15   ושם חברון לפנים קרית ארבע האדם הגדול בענקים הוא והארץ שקטה ממלחמה

joshua 15 1   ויהי הגורל למטה בני יהודה למשפחתם אל גבול אדום מדבר צן נגבה מקצה תימן

joshua 15 2   ויהי להם גבול נגב מקצה ים המלח מן הלשן הפנה נגבה

joshua 15 3   ויצא אל מנגב למעלה עקרבים ועבר צנה ועלה מנגב לקדש ברנע ועבר חצרון ועלה אדרה ונסב הקרקעה

joshua 15 4   ועבר עצמונה ויצא נחל מצרים והיה והיו תצאות הגבול ימה זה יהיה לכם גבול נגב

joshua 15 5   וגבול קדמה ים המלח עד קצה הירדן וגבול לפאת צפונה מלשון הים מקצה הירדן

joshua 15 6   ועלה הגבול בית חגלה ועבר מצפון לבית הערבה ועלה הגבול אבן בהן בן ראובן

joshua 15 7   ועלה הגבול דברה מעמק עכור וצפונה פנה אל הגלגל אשר נכח למעלה אדמים אשר מנגב לנחל ועבר הגבול אל מי עין שמש והיו תצאתיו אל עין רגל

joshua 15 8   ועלה הגבול גי בן הנם אל כתף היבוסי מנגב היא ירושל͏ם ועלה הגבול אל ראש ההר אשר על פני גי הנם ימה אשר בקצה עמק רפאים צפנה

joshua 15 9   ותאר הגבול מראש ההר אל מעין מי נפתוח ויצא אל ערי הר עפרון ותאר הגבול בעלה היא קרית יערים

joshua 15 10   ונסב הגבול מבעלה ימה אל הר שעיר ועבר אל כתף הר יערים מצפונה היא כסלון וירד בית שמש ועבר תמנה

joshua 15 11   ויצא הגבול אל כתף עקרון צפונה ותאר הגבול שכרונה ועבר הר הבעלה ויצא יבנאל והיו תצאות הגבול ימה

joshua 15 12   וגבול ים הימה הגדול וגבול זה גבול בני יהודה סביב למשפחתם

joshua 15 13   ולכלב בן יפנה נתן חלק בתוך בני יהודה אל פי יהוה ליהושע את קרית ארבע אבי הענק היא חברון

joshua 15 14   וירש משם כלב את שלושה בני הענק את ששי ואת אחימן ואת תלמי ילידי הענק

joshua 15 15   ויעל משם אל ישבי דבר ושם דבר לפנים קרית ספר

joshua 15 16   ויאמר כלב אשר יכה את קרית ספר ולכדה ונתתי לו את עכסה בתי לאשה

joshua 15 17   וילכדה עתניאל בן קנז אחי כלב ויתן לו את עכסה בתו לאשה

joshua 15 18   ויהי בבואה ותסיתהו לשאול מאת אביה שדה ותצנח מעל החמור ויאמר לה כלב מה לך

joshua 15 19   ותאמר תנה לי ברכה כי ארץ הנגב נתתני ונתתה לי גלת מים ויתן לה את גלת עליות ואת גלת תחתיות

joshua 15 20   זאת נחלת מטה בני יהודה למשפחתם

joshua 15 21   ויהיו הערים מקצה למטה בני יהודה אל גבול אדום בנגבה קבצאל ועדר ויגור

joshua 15 22   וקינה ודימונה ועדעדה

joshua 15 23   וקדש וחצור ויתנן

joshua 15 24   זיף וטלם ובעלות

joshua 15 25   וחצור חדתה וקריות חצרון היא חצור

joshua 15 26   אמם ושמע ומולדה

joshua 15 27   וחצר גדה וחשמון ובית פלט

joshua 15 28   וחצר שועל ובאר שבע ובזיותיה

joshua 15 29   בעלה ועיים ועצם

joshua 15 30   ואלתולד וכסיל וחרמה

joshua 15 31   וצקלג ומדמנה וסנסנה

joshua 15 32   ולבאות ושלחים ועין ורמון כל ערים עשרים ותשע וחצריהן

joshua 15 33   בשפלה אשתאול וצרעה ואשנה

joshua 15 34   וזנוח ועין גנים תפוח והעינם

joshua 15 35   ירמות ועדלם שוכה ועזקה

joshua 15 36   ושערים ועדיתים והגדרה וגדרתים ערים ארבע עשרה וחצריהן

joshua 15 37   צנן וחדשה ומגדל גד

joshua 15 38   ודלען והמצפה ויקתאל

joshua 15 39   לכיש ובצקת ועגלון

joshua 15 40   וכבון ולחמס וכתליש

joshua 15 41   וגדרות בית דגון ונעמה ומקדה ערים שש עשרה וחצריהן

joshua 15 42   לבנה ועתר ועשן

joshua 15 43   ויפתח ואשנה ונציב

joshua 15 44   וקעילה ואכזיב ומראשה ערים תשע וחצריהן

joshua 15 45   עקרון ובנתיה וחצריה

joshua 15 46   מעקרון וימה כל אשר על יד אשדוד וחצריהן

joshua 15 47   אשדוד בנותיה וחצריה עזה בנותיה וחצריה עד נחל מצרים והים הגבול הגדול וגבול

joshua 15 48   ובהר שמיר ויתיר ושוכה

joshua 15 49   ודנה וקרית סנה היא דבר

joshua 15 50   וענב ואשתמה וענים

joshua 15 51   וגשן וחלן וגלה ערים אחת עשרה וחצריהן

joshua 15 52   ארב ורומה ואשען

joshua 15 53   וינים וינום ובית תפוח ואפקה

joshua 15 54   וחמטה וקרית ארבע היא חברון וציער ערים תשע וחצריהן

joshua 15 55   מעון כרמל וזיף ויוטה

joshua 15 56   ויזרעאל ויקדעם וזנוח

joshua 15 57   הקין גבעה ותמנה ערים עשר וחצריהן

joshua 15 58   חלחול בית צור וגדור

joshua 15 59   ומערת ובית ענות ואלתקן ערים שש וחצריהן

joshua 15 60   קרית בעל היא קרית יערים והרבה ערים שתים וחצריהן

joshua 15 61   במדבר בית הערבה מדין וסככה

joshua 15 62   והנבשן ועיר המלח ועין גדי ערים שש וחצריהן

joshua 15 63   ואת היבוסי יושבי ירושלם לא יוכלו יכלו בני יהודה להורישם וישב היבוסי את בני יהודה בירושלם עד היום הזה

joshua 16 1   ויצא הגורל לבני יוסף מירדן יריחו למי יריחו מזרחה המדבר עלה מיריחו בהר בית אל

joshua 16 2   ויצא מבית אל לוזה ועבר אל גבול הארכי עטרות

joshua 16 3   וירד ימה אל גבול היפלטי עד גבול בית חורן תחתון ועד גזר והיו תצאתו תצאתיו ימה

joshua 16 4   וינחלו בני יוסף מנשה ואפרים

joshua 16 5   ויהי גבול בני אפרים למשפחתם ויהי גבול נחלתם מזרחה עטרות אדר עד בית חורן עליון

joshua 16 6   ויצא הגבול הימה המכמתת מצפון ונסב הגבול מזרחה תאנת שלה ועבר אותו ממזרח ינוחה

joshua 16 7   וירד מינוחה עטרות ונערתה ופגע ביריחו ויצא הירדן

joshua 16 8   מתפוח ילך הגבול ימה נחל קנה והיו תצאתיו הימה זאת נחלת מטה בני אפרים למשפחתם

joshua 16 9   והערים המבדלות לבני אפרים בתוך נחלת בני מנשה כל הערים וחצריהן

joshua 16 10   ולא הורישו את הכנעני היושב בגזר וישב הכנעני בקרב אפרים עד היום הזה ויהי למס עבד

joshua 17 1   ויהי הגורל למטה מנשה כי הוא בכור יוסף למכיר בכור מנשה אבי הגלעד כי הוא היה איש מלחמה ו͏יהי לו הגלעד והבשן

joshua 17 2   ויהי לבני מנשה הנותרים למשפחתם לבני אביעזר ולבני חלק ולבני אשריאל ולבני שכם ולבני חפר ולבני שמידע אלה בני מנשה בן יוסף הזכרים למשפחתם

joshua 17 3   ולצלפחד בן חפר בן גלעד בן מכיר בן מנשה לא היו לו בנים כי אם בנות ואלה שמות בנתיו מחלה ונעה חגלה מלכה ותרצה

joshua 17 4   ותקרבנה לפני אלעזר הכהן ולפני יהושע בן נון ולפני הנשיאים לאמר יהוה צוה את משה לתת לנו נחלה בתוך אחינו ויתן להם אל פי יהוה נ͏חלה בתוך אחי אביהן

joshua 17 5   ויפלו חבלי מנשה עשרה לבד מארץ הגלעד והבשן אשר מעבר לירדן

joshua 17 6   כי בנות מנשה נחלו נחלה בתוך בניו וארץ הגלעד היתה לבני מנשה הנותרים

joshua 17 7   ויהי גבול מנשה מאשר המכמתת אשר על פני שכם והלך הגבול אל הימין אל ישבי עין תפוח

joshua 17 8   למנשה היתה ארץ תפוח ותפוח אל גבול מנשה לבני אפרים

joshua 17 9   וירד הגבול נחל קנה נגבה לנחל ערים האלה לאפרים בתוך ערי מנשה וגבול מנשה מצפון לנחל ויהי תצאתיו הימה

joshua 17 10   נגבה לאפרים וצפונה למנשה ויהי הים גבולו ובאשר יפגעון מצפון וביששכר ממזרח

joshua 17 11   ויהי למנשה ביששכר ובאשר בית שאן ובנותיה ויבלעם ובנותיה ואת ישבי דאר ובנותיה וישבי עין דר ובנתיה וישבי תענך ובנתיה וישבי מגדו ובנותיה שלשת הנפת

joshua 17 12   ולא יכלו בני מנשה להוריש את הערים האלה ויואל הכנעני לשבת בארץ הזאת

joshua 17 13   ו͏יהי כי ח͏זקו בני ישראל ויתנו את הכנעני למס והורש לא הורישו

joshua 17 14   וידברו בני יוסף את יהושע לאמר מדוע נתתה לי נחלה גורל אחד וחבל אחד ו͏אני עם רב עד אשר עד כה ברכני יהוה
